stage,epoch,loss,accuracy,accuracy_top5,learning_rate,epoch_time
train,1,6.400116777753497,1.5876138024053053,5.279791565196758,0.008761104022538851,1118.3396513462067
train,2,5.397930097246504,6.632463502054375,17.870724214154585,0.012773357114003348,1013.2810325622559
train,3,4.729260680725525,12.652126809286527,29.33651168308918,0.019324830095551332,1014.6703555583954
train,4,4.132215977381993,19.676420266506813,40.46198468897131,0.028216428916374797,1051.9823489189148
train,5,3.650677106097028,26.27937944125985,49.434032070735455,0.03917794496348195,1012.555061340332
train,6,3.285403122268357,31.795361732419167,56.120196570629304,0.05187626648643706,1010.5795516967773
train,7,3.0049101289335662,36.34402357848463,61.08949021517865,0.06592550159839454,1014.1811196804047
train,8,2.7832714160839163,40.08037977845216,64.99850136750216,0.08089870522348035,1013.6476113796234
train,9,2.6126280457823428,43.041505875888255,67.87041199905087,0.0963408536179215,1016.1139476299286
train,10,2.4788543487762236,45.46890025351866,70.11531664855819,0.11178267217955039,1021.4189703464508
train,11,2.3629298923732516,47.62474554469047,71.97073295617749,0.12675489632955617,1018.2685706615448
train,12,2.2741680438701923,49.19604610792652,73.43135326514556,0.14080253208963406,1014.0013468265533
train,13,2.1971259697333916,50.67235522585641,74.67147165711289,0.15349868298694114,1011.6694006919861
train,14,2.1287432050371504,51.956574001223885,75.71778252344735,0.16445752309821798,1015.8989963531494
train,15,2.0766176450502623,52.9354464051553,76.51947285601888,0.1733460219925895,1018.2557852268219
train,16,2.025303553868007,53.941247361782374,77.32186567257378,0.17989406526136206,1015.1040868759155
train,17,1.9848964024256992,54.719365454023205,77.96658986175115,0.18390266307996989,1016.9507343769073
train,18,1.9471143602491259,55.46431069149401,78.51437126122413,0.18524999949314286,1019.510803937912
train,19,1.9145219282670454,56.130031346396414,79.01375931962085,0.18499027811444443,1022.5585236549377
train,20,1.8813466318837413,56.74080214304447,79.51845503478076,0.1842140147056829,1014.0073590278625
train,21,1.8525100387893356,57.299901340027226,79.93697938131454,0.18292555044672176,1011.7222361564636
train,22,1.8287730823863637,57.82653016622332,80.29750977233275,0.18113209095234667,1014.7511751651764
train,23,1.8046854512674826,58.28345697051441,80.68988610393016,0.17884366597554488,1015.8431360721588
train,24,1.7864817799388113,58.66443745082612,80.92365716283891,0.17607307331705796,1018.7266058921814
train,25,1.7652714229130244,59.09053301362507,81.26592297028961,0.17283580725488887,1017.1132166385651
train,26,1.7434549825174825,59.50086171368626,81.53271077641652,0.16914997189401418,1015.970146894455
train,27,1.7290829531796328,59.818150312839535,81.73916301374996,0.16503617992088543,1012.9408173561096
train,28,1.7101485672530594,60.19905273937532,82.02452761854808,0.16051743732892534,1018.4271967411041
train,29,1.6935002253605769,60.495344872803564,82.30161852309767,0.1556190147596801,1015.1531510353088
train,30,1.6772947511472902,60.85634358647734,82.49839209221585,0.1503683061791416,1009.9450120925903
train,31,1.6568157916302448,61.29602050628801,82.77321943726349,0.14479467567957716,1017.9963066577911
train,32,1.6418877021416083,61.59785445780725,83.0058196895333,0.13892929326361472,1015.040769815445
train,33,1.6259719528518357,61.92279232700161,83.23139510196945,0.13280496052894422,1016.8240842819214
train,34,1.608057494263549,62.283244664243874,83.4659466986375,0.12645592722847782,1012.2390260696411
